sourceFile,Date,Errors
2023-12-12-[$LATEST]035c36daa2874826a6014b52fe02d9f4__000000.log,2023-12-12T12:35:10,2023-12-12T12:35:10.307Z 2023-12-12T12:35:10.307Z	0a0adba9-a0b2-58ae-8863-865bf52bfcbb	ERROR	Subscription balance and payment balance are not in sync {
2023-12-12-[$LATEST]2356b20ade4949c385b4e9e12f18abb4__000000.log,2023-12-12T15:39:36,2023-12-12T15:39:36.998Z 2023-12-12T15:39:36.998Z	a8f446a9-128a-54aa-a6dc-1b5b9250be60	ERROR	Subscription balance and payment balance are not in sync {
2023-12-12-[$LATEST]2d79cb3e8a764a7ebe511af6e51c3f65__000000.log,2023-12-12T11:28:13,2023-12-12T11:28:13.367Z 2023-12-12T11:28:13.367Z	51e61a48-3ecb-56ab-bd02-47ba7b2e2482	ERROR	Subscription balance and payment balance are not in sync {
2023-12-12-[$LATEST]496f63332cf14a8fb61f608c0e1191e2__000000.log,2023-12-12T09:09:40,"2023-12-12T09:09:40.745Z {""_aws"":{""Timestamp"":1702372180744,""CloudWatchMetrics"":[{""Namespace"":""apiService"",""Dimensions"":[[""service""]],""Metrics"":[{""Name"":""synBalanceError"",""Unit"":""Count""}]}]},""service"":""syncBalanceSQS"",""synBalanceError"":1}"
2023-12-12-[$LATEST]acf698d48e61471caf9c58167f88fcda__000000.log,2023-12-12T15:42:54,2023-12-12T15:42:54.472Z 2023-12-12T15:42:54.472Z	71847a9a-8af1-535e-8798-27680b67f4a7	ERROR	Subscription balance and payment balance are not in sync {
2023-12-12-[$LATEST]d650a7cf321745028d7612b1c567a853__000000.log,2023-12-12T11:31:41,2023-12-12T11:31:41.511Z 2023-12-12T11:31:41.511Z	df533997-8bd7-5e7d-a80e-6465cd6c561c	ERROR	Subscription balance and payment balance are not in sync {
2023-12-12-[$LATEST]d81cbda3e8c24d6d8093cef5ac3a028a__000000.log,2023-12-12T11:00:06,2023-12-12T11:00:06.233Z 2023-12-12T11:00:06.233Z	30203f23-1c02-518e-aa13-62d123527c1b	ERROR	Subscription balance and payment balance are not in sync {
2023-12-12-[$LATEST]d82a23d7391f4730a46a482ea552c76f__000000.log,2023-12-12T21:02:45,2023-12-12T21:02:45.406Z 2023-12-12T21:02:45.406Z	08966cd1-d17c-5c56-a508-31231deb025e	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]128097ac701442268e5b92aed3e5d863__000000.log,2023-12-13T10:39:39,2023-12-13T10:39:39.365Z 2023-12-13T10:39:39.365Z	d0e84707-1802-5937-aaff-1af49404ed0e	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]7bf3b4f4e9ea4786b514e5135ac81fa9__000000.log,2023-12-13T10:00:20,2023-12-13T10:00:20.926Z 2023-12-13T10:00:20.926Z	11878119-f61c-5477-a24d-dcea74d7c844	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]7bf3b4f4e9ea4786b514e5135ac81fa9__000000.log,2023-12-13T10:03:08,2023-12-13T10:03:08.686Z 2023-12-13T10:03:08.686Z	54085fce-b74c-549c-8b69-023d3437d327	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]7bf3b4f4e9ea4786b514e5135ac81fa9__000000.log,2023-12-13T10:01:07,2023-12-13T10:01:07.355Z 2023-12-13T10:01:07.355Z	dd9e6879-dd0c-5a78-a922-358a5e062f9e	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]7cdeb360caf2437bb667487d93e99330__000000.log,2023-12-13T11:20:50,2023-12-13T11:20:50.740Z 2023-12-13T11:20:50.740Z	9bbb752d-a8ff-5569-9a14-28de3d42d436	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]7cdeb360caf2437bb667487d93e99330__000000.log,2023-12-13T11:15:16,2023-12-13T11:15:16.080Z 2023-12-13T11:15:16.080Z	01a47a8b-40a7-51a9-a27b-2778d4ca7032	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]913f68bce0e344c884c7f7ffcd3fc202__000000.log,2023-12-13T11:08:13,2023-12-13T11:08:13.810Z 2023-12-13T11:08:13.810Z	57790018-5135-52b1-aa0c-5debc38c6027	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]913f68bce0e344c884c7f7ffcd3fc202__000000.log,2023-12-13T11:06:57,2023-12-13T11:06:57.272Z 2023-12-13T11:06:57.272Z	275a1013-42df-58be-a47a-4de0d0b38680	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]913f68bce0e344c884c7f7ffcd3fc202__000000.log,2023-12-13T11:02:16,2023-12-13T11:02:16.669Z 2023-12-13T11:02:16.669Z	2ec16c1c-c791-5bac-927c-31ef56cfe1ad	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]a02f7a922b1c428ba44e25d557ee741c__000000.log,2023-12-13T10:55:19,2023-12-13T10:55:19.035Z 2023-12-13T10:55:19.035Z	cbce146f-4ea3-5fb0-a234-499cc11387ff	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]cd1503562e734b3da6dbcc0728643600__000000.log,2023-12-13T16:01:17,2023-12-13T16:01:17.486Z 2023-12-13T16:01:17.486Z	efa01808-75ee-5bb9-9956-45fba29fcb34	ERROR	Subscription balance and payment balance are not in sync {
2023-12-13-[$LATEST]f3875ef005b04166a66f79e142cdc867__000000.log,2023-12-13T10:40:51,2023-12-13T10:40:51.794Z 2023-12-13T10:40:51.794Z	78a31c8d-f17d-5392-9dd7-417e7d24b26e	ERROR	Subscription balance and payment balance are not in sync {
2023-12-14-[$LATEST]35c4fd56cedb483a92b4f6ff20b665d6__000000.log,2023-12-14T21:01:56,2023-12-14T21:01:56.021Z 2023-12-14T21:01:56.021Z	bab46e52-edbd-5422-906e-33a782cca121	ERROR	Subscription balance and payment balance are not in sync {
2023-12-14-[$LATEST]8f40d442a2044c45a88b1b654d80ac2c__000000.log,2023-12-14T09:46:39,2023-12-14T09:46:39.285Z 2023-12-14T09:46:39.285Z	7cf9802c-54e4-582c-9bf7-ddd885cd4291	ERROR	Subscription balance and payment balance are not in sync {
2023-12-14-[$LATEST]bcce841c1a064e26999c18a58e45a98c__000000.log,2023-12-14T09:35:36,2023-12-14T09:35:36.372Z 2023-12-14T09:35:36.372Z	0b89fa36-9d82-5992-a0b5-a7c2530ce638	ERROR	Subscription balance and payment balance are not in sync {
2023-12-15-[$LATEST]dfd638ab349d46ba9222cda160dc159f__000000.log,2023-12-15T21:02:39,2023-12-15T21:02:39.720Z 2023-12-15T21:02:39.720Z	174c3dc6-e852-5d5d-99d3-60302944161f	ERROR	Subscription balance and payment balance are not in sync {
2023-12-16-[$LATEST]886b02f6d7d2447ba8ed3ffed7004905__000000.log,2023-12-16T21:02:28,2023-12-16T21:02:28.049Z 2023-12-16T21:02:28.049Z	e192921d-9862-5e03-8d92-cfe58aee26cd	ERROR	Subscription balance and payment balance are not in sync {
2023-12-16-[$LATEST]886b02f6d7d2447ba8ed3ffed7004905__000000.log,2023-12-16T21:04:17,2023-12-16T21:04:17.278Z 2023-12-16T21:04:17.278Z	69aa77e8-b224-56f4-87da-2a10a0d63552	ERROR	Subscription balance and payment balance are not in sync {
2023-12-17-[$LATEST]69e22e1c83a54e75871c2dd4ddfca99d__000000.log,2023-12-17T21:01:30,2023-12-17T21:01:30.123Z 2023-12-17T21:01:30.123Z	dfb21db9-98cd-5752-beaf-4040fb000ce0	ERROR	Subscription balance and payment balance are not in sync {
2023-12-17-[$LATEST]69e22e1c83a54e75871c2dd4ddfca99d__000000.log,2023-12-17T21:03:04,2023-12-17T21:03:04.194Z 2023-12-17T21:03:04.194Z	49303f21-95b6-50a3-a4de-62d8f187833d	ERROR	Subscription balance and payment balance are not in sync {
2023-12-17-[$LATEST]69e22e1c83a54e75871c2dd4ddfca99d__000000.log,2023-12-17T21:03:19,2023-12-17T21:03:19.638Z 2023-12-17T21:03:19.638Z	8e586569-ff27-5cc7-b1e7-38909b651006	ERROR	Subscription balance and payment balance are not in sync {
2023-12-17-[$LATEST]69e22e1c83a54e75871c2dd4ddfca99d__000000.log,2023-12-17T21:03:42,2023-12-17T21:03:42.748Z 2023-12-17T21:03:42.748Z	64c84d16-5525-50f4-b999-10ef3178eac6	ERROR	Subscription balance and payment balance are not in sync {
2023-12-18-[$LATEST]7e5f60efb1984d36bcccee4678311478__000000.log,2023-12-18T21:02:33,2023-12-18T21:02:33.954Z 2023-12-18T21:02:33.954Z	84f3044f-005c-5e7e-8ff3-59b5b5c59e60	ERROR	Subscription balance and payment balance are not in sync {
2023-12-18-[$LATEST]7e5f60efb1984d36bcccee4678311478__000000.log,2023-12-18T21:03:00,2023-12-18T21:03:00.950Z 2023-12-18T21:03:00.950Z	53bb08c5-cc8b-5c58-9812-553f793fc59f	ERROR	Subscription balance and payment balance are not in sync {
2023-12-18-[$LATEST]7e5f60efb1984d36bcccee4678311478__000000.log,2023-12-18T21:03:40,2023-12-18T21:03:40.499Z 2023-12-18T21:03:40.499Z	fe0721a9-6892-55dd-8066-7c53dd4af1a1	ERROR	Subscription balance and payment balance are not in sync {
2023-12-18-[$LATEST]7fe9681f81be41c395e75247e9b5a8eb__000000.log,2023-12-18T13:18:38,2023-12-18T13:18:38.538Z 2023-12-18T13:18:38.538Z	0c0f684b-8303-501d-abb3-35b1cbe07b3d	ERROR	Subscription balance and payment balance are not in sync {
2023-12-19-[$LATEST]57540c30c1b945fc8744ef73c051311b__000000.log,2023-12-19T00:12:30,2023-12-19T00:12:30.663Z 2023-12-19T00:12:30.663Z	a78e94be-4906-5d4c-9462-c944ab1befc8	ERROR	Subscription balance and payment balance are not in sync {
2023-12-19-[$LATEST]57540c30c1b945fc8744ef73c051311b__000000.log,2023-12-19T00:11:40,2023-12-19T00:11:40.411Z 2023-12-19T00:11:40.411Z	8eb16d2b-98b1-5245-a2bb-30d1795c56a7	ERROR	Subscription balance and payment balance are not in sync {
2023-12-19-[$LATEST]57540c30c1b945fc8744ef73c051311b__000000.log,2023-12-19T00:11:45,2023-12-19T00:11:45.149Z 2023-12-19T00:11:45.149Z	09a7a0d0-3a13-5274-8b76-fd2adbe999c4	ERROR	Subscription balance and payment balance are not in sync {
2023-12-19-[$LATEST]57540c30c1b945fc8744ef73c051311b__000000.log,2023-12-19T00:13:23,2023-12-19T00:13:23.978Z 2023-12-19T00:13:23.978Z	860879f3-ff3e-5bd7-9245-24091d6e2e24	ERROR	Subscription balance and payment balance are not in sync {
2023-12-21-[$LATEST]2c1421bbbb43403d87c042ac32492506__000000.log,2023-12-21T21:01:16,2023-12-21T21:01:16.619Z 2023-12-21T21:01:16.619Z	6f06a073-26b2-5a6e-b1b0-fd8d8f6e4cf7	ERROR	Subscription balance and payment balance are not in sync {
2023-12-22-[$LATEST]dcce02033bb841499b112363112fc44f__000000.log,2023-12-22T21:01:54,2023-12-22T21:01:54.508Z 2023-12-22T21:01:54.508Z	798e632a-e3d4-54cb-bbee-3ed518aba04d	ERROR	Subscription balance and payment balance are not in sync {
2023-12-23-[$LATEST]af786bc85b0c4725ada09f92b5ece4c9__000000.log,2023-12-23T21:01:05,2023-12-23T21:01:05.134Z 2023-12-23T21:01:05.134Z	f8605b37-ae3d-53fb-bfb9-0536e2ed6198	ERROR	Subscription balance and payment balance are not in sync {
2023-12-23-[$LATEST]af786bc85b0c4725ada09f92b5ece4c9__000000.log,2023-12-23T21:09:28,2023-12-23T21:09:28.389Z 2023-12-23T21:09:28.389Z	3901651c-881e-59f4-9fef-3b1dc6d699b1	ERROR	Subscription balance and payment balance are not in sync {
2023-12-23-[$LATEST]bf64a33f84484d4ebc131a64c3421014__000000.log,2023-12-23T21:01:04,2023-12-23T21:01:04.284Z 2023-12-23T21:01:04.284Z	a35150fb-8b18-5a89-bc26-0efac7d72491	ERROR	Subscription balance and payment balance are not in sync {
2023-12-23-[$LATEST]bf64a33f84484d4ebc131a64c3421014__000000.log,2023-12-23T21:01:04,2023-12-23T21:01:04.560Z 2023-12-23T21:01:04.560Z	a35150fb-8b18-5a89-bc26-0efac7d72491	ERROR	Subscription balance and payment balance are not in sync {
2023-12-24-[$LATEST]27f9f4c4267f4fe0b9767483346481c5__000000.log,2023-12-24T21:01:22,2023-12-24T21:01:22.879Z 2023-12-24T21:01:22.879Z	781d8b85-1281-5dc9-aa31-d5878ce3af08	ERROR	Subscription balance and payment balance are not in sync {
2023-12-24-[$LATEST]27f9f4c4267f4fe0b9767483346481c5__000000.log,2023-12-24T21:01:03,2023-12-24T21:01:03.358Z 2023-12-24T21:01:03.358Z	d68d9793-d840-5c99-bfe3-c991460f5864	ERROR	Subscription balance and payment balance are not in sync {
2023-12-24-[$LATEST]6c7c0ceab6fe49dcbd7b5ab8468624d2__000000.log,2023-12-24T06:15:30,2023-12-24T06:15:30.468Z 2023-12-24T06:15:30.468Z	dafcddfe-7f4a-5a03-9720-83ffb1f0a6c1	ERROR	Subscription balance and payment balance are not in sync {
2023-12-24-[$LATEST]773337d8ea0c45f3b49c22ae033774f6__000000.log,2023-12-24T21:01:14,2023-12-24T21:01:14.276Z 2023-12-24T21:01:14.276Z	3a1b2182-e75d-5fa4-b862-7f807904ad65	ERROR	Subscription balance and payment balance are not in sync {
2023-12-24-[$LATEST]edf75011395e49578088488177e36faf__000000.log,2023-12-24T21:09:30,2023-12-24T21:09:30.738Z 2023-12-24T21:09:30.738Z	3f8825cd-602e-5bf9-ae48-7bcfc064efcb	ERROR	Subscription balance and payment balance are not in sync {
